ID, Elapsed, Walltime
004166,33.84, 264 seconds 0.07 hours
003103,34.03, 263 seconds 0.07 hours
002481,33.65, 265 seconds 0.07 hours
003594,33.70, 265 seconds 0.07 hours
005442,33.59, 266 seconds 0.07 hours
006110,33.88, 263 seconds 0.07 hours
000029,33.80, 264 seconds 0.07 hours
001704,33.77, 264 seconds 0.07 hours
004720,34.05, 262 seconds 0.07 hours
003945,34.08, 262 seconds 0.07 hours
003962,33.84, 264 seconds 0.07 hours
001022,33.94, 263 seconds 0.07 hours
002581,33.92, 263 seconds 0.07 hours
000763,33.62, 266 seconds 0.07 hours
005951,33.53, 266 seconds 0.07 hours
003201,33.85, 264 seconds 0.07 hours
002733,34.09, 262 seconds 0.07 hours
001527,33.92, 263 seconds 0.07 hours
000304,33.44, 267 seconds 0.07 hours
000988,33.87, 263 seconds 0.07 hours
001499,34.11, 262 seconds 0.07 hours
003587,33.61, 265 seconds 0.07 hours
004934,33.61, 266 seconds 0.07 hours
000286,33.97, 264 seconds 0.07 hours
003744,34.06, 261 seconds 0.07 hours
000831,33.97, 264 seconds 0.07 hours
002549,33.93, 264 seconds 0.07 hours
003366,33.73, 265 seconds 0.07 hours
002525,34.01, 262 seconds 0.07 hours
002190,33.83, 264 seconds 0.07 hours
004997,33.81, 264 seconds 0.07 hours
002181,34.11, 262 seconds 0.07 hours
001130,33.97, 263 seconds 0.07 hours
004889,33.86, 264 seconds 0.07 hours
000910,34.01, 264 seconds 0.07 hours
003122,34.05, 262 seconds 0.07 hours
002474,33.97, 263 seconds 0.07 hours
003706,33.90, 263 seconds 0.07 hours
002283,33.83, 263 seconds 0.07 hours
005024,33.95, 263 seconds 0.07 hours
001476,33.92, 263 seconds 0.07 hours
000901,33.90, 264 seconds 0.07 hours
000660,33.51, 267 seconds 0.07 hours
004049,33.86, 263 seconds 0.07 hours
003445,33.85, 263 seconds 0.07 hours
000282,33.87, 263 seconds 0.07 hours
002043,33.47, 267 seconds 0.07 hours
005076,33.84, 263 seconds 0.07 hours
002497,33.62, 265 seconds 0.07 hours
003367,33.98, 262 seconds 0.07 hours
004195,33.87, 263 seconds 0.07 hours
005458,33.95, 263 seconds 0.07 hours
002321,34.08, 263 seconds 0.07 hours
001516,33.99, 264 seconds 0.07 hours
001746,34.14, 263 seconds 0.07 hours
000385,33.90, 265 seconds 0.07 hours
001199,33.98, 264 seconds 0.07 hours
000588,33.87, 265 seconds 0.07 hours
004494,33.68, 264 seconds 0.07 hours
001587,33.91, 264 seconds 0.07 hours
004974,33.81, 264 seconds 0.07 hours
000687,33.81, 264 seconds 0.07 hours
002246,33.97, 263 seconds 0.07 hours
002028,33.94, 263 seconds 0.07 hours
002174,33.87, 263 seconds 0.07 hours
005778,34.05, 263 seconds 0.07 hours
002659,33.94, 263 seconds 0.07 hours
000891,34.01, 263 seconds 0.07 hours
003428,33.85, 264 seconds 0.07 hours
004005,33.95, 263 seconds 0.07 hours
000862,34.00, 263 seconds 0.07 hours
003156,33.84, 264 seconds 0.07 hours
003033,33.84, 264 seconds 0.07 hours
002570,33.81, 264 seconds 0.07 hours
003086,34.03, 263 seconds 0.07 hours
001614,33.93, 263 seconds 0.07 hours
001784,33.95, 262 seconds 0.07 hours
003306,34.01, 263 seconds 0.07 hours
003143,33.57, 266 seconds 0.07 hours
000617,34.05, 263 seconds 0.07 hours
002881,33.87, 264 seconds 0.07 hours
001373,33.73, 265 seconds 0.07 hours
000422,33.97, 264 seconds 0.07 hours
000145,34.06, 263 seconds 0.07 hours
002957,33.58, 267 seconds 0.07 hours
003455,33.96, 264 seconds 0.07 hours
002766,33.91, 264 seconds 0.07 hours
001562,34.13, 262 seconds 0.07 hours
000978,34.01, 263 seconds 0.07 hours
001154,33.53, 267 seconds 0.07 hours
001683,33.61, 266 seconds 0.07 hours
002486,34.07, 263 seconds 0.07 hours
002331,33.64, 266 seconds 0.07 hours
000091,34.01, 263 seconds 0.07 hours
002719,34.11, 263 seconds 0.07 hours
001512,33.87, 265 seconds 0.07 hours
000141,33.76, 266 seconds 0.07 hours
000086,33.90, 265 seconds 0.07 hours
000834,33.95, 265 seconds 0.07 hours
002045,33.98, 264 seconds 0.07 hours
004496,34.06, 262 seconds 0.07 hours
002138,33.96, 263 seconds 0.07 hours
005002,33.86, 264 seconds 0.07 hours
000725,34.02, 262 seconds 0.07 hours
005477,33.92, 263 seconds 0.07 hours
000975,33.94, 262 seconds 0.07 hours
001803,33.89, 265 seconds 0.07 hours
002864,33.78, 266 seconds 0.07 hours
003126,34.11, 263 seconds 0.07 hours
000951,33.82, 265 seconds 0.07 hours
000599,33.86, 265 seconds 0.07 hours
001647,34.05, 264 seconds 0.07 hours
